SalePrice,id
120129.31638285173,1461
153008.7854064986,1462
181999.66786591755,1463
195952.2849978021,1464
197477.70321220296,1465
171222.79686163116,1466
178212.0685770586,1467
161123.56528457525,1468
193898.42412746875,1469
119925.53447730557,1470
189952.62379058255,1471
97385.89877839478,1472
96173.54601725194,1473
146413.76269308932,1474
113408.4002322741,1475
363559.06850254466,1476
250762.12819425543,1477
294599.0955914544,1478
299293.44565708213,1479
474977.72866128694,1480
325368.6991645464,1481
210850.50276419715,1482
177057.7675850424,1483
162710.8451215371,1484
191473.8163283077,1485
193107.8563087154,1486
339866.0295461023,1487
238341.4056329836,1488
193749.49883002572,1489
231349.00344699793,1490
195043.96090914856,1491
92756.67611514144,1492
189749.5884392125,1493
299951.2933458907,1494
293285.5911212206,1495
235701.9623490432,1496
179388.2743013592,1497
167787.2782946069,1498
162374.42494970965,1499
152697.89604814618,1500
174507.64199408883,1501
145503.6506212218,1502
290290.38709623436,1503
242518.9634867151,1504
225593.8501779169,1505
188193.22519878772,1506
245834.55147804308,1507
202873.81058026457,1508
163898.0469976302,1509
143480.4384361873,1510
148092.6730057099,1511
175334.261552345,1512
152363.3936249807,1513
155109.78084422945,1514
197374.46850365406,1515
157898.1108176084,1516
168347.74792537407,1517
132466.49684443168,1518
209170.37221044497,1519
127540.30850578872,1520
130083.43999928552,1521
178496.08899269503,1522
110130.44909133477,1523
125686.4821726375,1524
120266.16231472132,1525
113488.37444080865,1526
107566.08465710779,1527
137378.38934699463,1528
149722.52202127723,1529
184338.31192067437,1530
105988.75185360036,1531
98505.55209054315,1532
142816.38267748768,1533
127215.23655111769,1534
147673.8629600078,1535
106379.05704344073,1536
64977.60745299994,1537
147236.97205496248,1538
191933.6091563553,1539
94263.48389404129,1540
138707.10514196905,1541
139649.16783362295,1542
189700.66251999192,1543
85067.985043838,1544
115257.94054333305,1545
135137.9479792653,1546
127884.17061106034,1547
138708.27871356037,1548
119838.52411651284,1549
135618.02321826073,1550
108885.03106547233,1551
136390.89906477067,1552
148289.76477491978,1553
116891.78756485388,1554
160376.90131114126,1555
85485.21858199107,1556
105780.81191083348,1557
97580.45125685334,1558
63552.80318317338,1559
134335.23100407323,1560
129372.76495233367,1561
130057.27797173696,1562
117918.52381134802,1563
155071.55198099796,1564
150955.30173257203,1565
237772.53074719795,1566
76404.0554983283,1567
230818.4413156247,1568
127780.26853477267,1569
139167.4721851162,1570
123247.99628658066,1571
142090.06900251668,1572
236848.78703014058,1573
118411.16056848981,1574
228294.6708937118,1575
241692.71437702113,1576
182201.704960607,1577
148720.2513192488,1578
144283.67460411982,1579
196843.8694239307,1580
153037.4353119455,1581
125687.56299674728,1582
295889.05088129675,1583
216154.08727435875,1584
136126.4854794615,1585
67143.7116550135,1586
104989.74609257629,1587
151179.16829745108,1588
96656.18719289276,1589
133891.40280903323,1590
92120.81171680172,1591
114189.85781279957,1592
127669.16813535136,1593
123646.96546166156,1594
107500.42835079675,1595
222575.50662365564,1596
193546.99434664875,1597
227982.70331666197,1598
172655.92105955415,1599
162810.2619109947,1600
68670.55669450265,1601
117135.34213046759,1602
71358.11761283714,1603
260213.84074000374,1604
243774.0913326851,1605
168701.8701135875,1606
173316.46469846866,1607
214613.92027023577,1608
185339.30648893543,1609
150446.7808330952,1610
138184.64668148317,1611
170111.54462348673,1612
161412.0306866148,1613
128011.18176654405,1614
93618.23075704841,1615
77864.51966472284,1616
95346.84781026703,1617
124769.0111206623,1618
140093.18890817027,1619
152267.550721141,1620
138619.2757365334,1621
141655.74710064236,1622
261268.10001323398,1623
209360.6942074044,1624
