"","x"
"1",9.99714679545892
"2",7.80617422142705
"3",8.66593421191679
"4",8.88898015780124
"5",7.25842069218319
"6",8.94990961148776
"7",9.0365351367266
"8",9.12844574430512
"9",3.703245895254
"10",8.96928840422513
"11",7.97788269053824
"12",8.75166745016715
"13",8.74433180398901
"14",7.53451510158041
"15",8.4441728383183
"16",7.09921695557176
"17",9.8458088684707
"18",9.86382455907174
"19",8.74947510090034
"20",8.12725548320079
"21",7.84405814883608
"22",8.96742373826129
"23",7.62027988122357
"24",8.4425471210646
"25",8.28612869281516
"26",7.68236490466254
"27",9.91597612237637
"28",7.23067995252748
"29",3.26734021112938
"30",9.99363941093079
"31",6.70996675620865
"32",7.2127945564489
"33",7.14067073991657
"34",8.9399027831211
"35",7.68137792149121
"36",9.82895539610086
"37",6.35024381347044
"38",8.00716117902341
"39",9.90630651277451
"40",7.29321418619469
"41",8.66380431891428
"42",9.1518197164991
"43",8.2762053678149
"44",6.66586562493319
"45",8.83683512687521
"46",7.81674525228851
"47",9.97666560838622
"48",8.77812344718857
"49",8.9462079666512
"50",6.07124379273217
"51",8.43557506360225
"52",8.29685008806964
"53",5.77912412109031
"54",8.46284687121823
"55",9.75590405838364
"56",9.99320690466752
"57",8.70520977044075
"58",9.16114794342698
"59",9.07530813737546
"60",7.38226715192833
"61",7.78251637450704
"62",7.24117634078005
"63",8.40476969732925
"64",8.54342949169457
"65",8.95809448390373
"66",7.6888430836846
"67",7.94569555094246
"68",8.5998879956185
"69",7.65741335602303
"70",9.85106805717824
"71",8.25302867120846
"72",9.42686550355468
"73",4.58817017359769
"74",6.89669046047429
"75",8.17083159008366
"76",8.01624582870289
"77",8.68149129953031
"78",7.60302484448122
"79",9.70343107032896
"80",8.00580490979667
"81",9.28461700026717
"82",7.03267335527905
"83",4.38681314245432
"84",8.97768766941956
"85",8.32055212086376
"86",9.99996384854546
"87",8.98013635318687
"88",9.71790691927148
"89",8.33578615941265
"90",9.95931305544847
"91",9.57795580556085
"92",6.36922875693116
"93",2.18961608174857
"94",8.34784118067796
"95",7.47149291706923
"96",8.80257188678679
"97",7.45309819485989
"98",9.63215416108432
"99",7.19509590988513
"100",6.28084484181758
"101",9.30002991961061
"102",6.65890128787465
"103",9.69627971880996
"104",8.44531550989535
"105",9.54828069378692
"106",8.88111467850684
"107",5.81266863017954
"108",8.94402235780518
"109",8.34606051893289
"110",5.01019149354333
"111",9.3878542275104
"112",8.42706420355655
"113",9.43291459121164
