"sale_date";"store_id";"sale_id";"sale_total"
"2012-01-01 00:00:00";1;1;"219041"
"2012-01-01 00:00:00";2;2;"487010"
"2012-01-01 00:00:00";3;3;"777928"
"2012-01-01 00:00:00";4;4;"528610"
"2012-01-01 00:00:00";5;5;"209267"
"2012-01-01 00:00:00";6;6;"260503"
"2012-01-01 00:00:00";7;7;"574713"
"2012-01-01 00:00:00";8;8;"192057"
"2012-01-01 00:00:00";9;9;"936147"
"2012-01-01 00:00:00";10;10;"404563"
"2012-01-01 00:00:00";11;11;"914373"
"2012-01-01 00:00:00";12;12;"558178"
"2012-01-01 00:00:00";13;13;"847772"
"2012-01-01 00:00:00";14;14;"664324"
"2012-01-01 00:00:00";15;15;"678304"
"2012-01-01 00:00:00";16;16;"398550"
"2012-01-01 00:00:00";17;17;"757838"
"2012-01-01 00:00:00";18;18;"693538"
"2012-01-01 00:00:00";19;19;"194177"
"2012-01-01 00:00:00";20;20;"590272"
"2012-01-01 00:00:00";21;21;"468829"
"2012-01-01 00:00:00";22;22;"473330"
"2012-01-01 00:00:00";23;23;"860163"
"2012-01-01 00:00:00";24;24;"980822"
"2012-01-01 00:00:00";25;25;"423624"
"2012-01-01 00:00:00";26;26;"875653"
"2012-01-01 00:00:00";27;27;"307395"
"2012-01-01 00:00:00";28;28;"610014"
"2012-01-01 00:00:00";29;29;"227885"
"2012-01-01 00:00:00";30;30;"109386"
"2012-01-01 00:00:00";31;31;"663271"
"2012-01-01 00:00:00";32;32;"188199"
"2012-01-01 00:00:00";33;33;"651183"
"2012-01-01 00:00:00";34;34;"791319"
"2012-01-01 00:00:00";36;35;"103046"
"2012-01-01 00:00:00";37;36;"741271"
"2012-01-01 00:00:00";38;37;"597216"
"2012-01-01 00:00:00";39;38;"662269"
"2012-01-01 00:00:00";40;39;"519699"
"2012-01-01 00:00:00";41;40;"511685"
"2012-01-01 00:00:00";42;41;"899327"
"2012-01-01 00:00:00";43;42;"161581"
"2012-01-01 00:00:00";44;43;"709926"
"2012-01-01 00:00:00";45;44;"264884"
"2012-01-02 00:00:00";1;45;"894642"
"2012-01-02 00:00:00";2;46;"878559"
"2012-01-02 00:00:00";3;47;"708870"
"2012-01-02 00:00:00";4;48;"808674"
"2012-01-02 00:00:00";5;49;"916759"
"2012-01-02 00:00:00";6;50;"257772"
"2012-01-02 00:00:00";7;51;"238585"
"2012-01-02 00:00:00";8;52;"319608"
"2012-01-02 00:00:00";9;53;"782287"
"2012-01-02 00:00:00";10;54;"152610"
"2012-01-02 00:00:00";11;55;"116188"
"2012-01-02 00:00:00";12;56;"923109"
"2012-01-02 00:00:00";13;57;"566982"
"2012-01-02 00:00:00";14;58;"865582"
"2012-01-02 00:00:00";15;59;"726965"
"2012-01-02 00:00:00";16;60;"938077"
"2012-01-02 00:00:00";17;61;"609493"
